CO_MUN_GEO;NO_MUN_MIN;SG_UF
3446900;Santa Lúcia;SP
3447007;Santa Maria da Serra;SP
3447106;Santa Mercedes;SP
3447205;Santana da Ponte Pensa;SP
3447304;Santana de Parnaíba;SP
3447403;Santa Rita d'Oeste;SP
3447502;Santa Rita do Passa Quatro;SP
3447601;Santa Rosa de Viterbo;SP
3447650;Santa Salete;SP
3447700;Santo Anastácio;SP
3447809;Santo André;SP
3447908;Santo Antônio da Alegria;SP
3448005;Santo Antônio de Posse;SP
3448054;Santo Antônio do Aracanguá;SP
3448104;Santo Antônio do Jardim;SP
3448203;Santo Antônio do Pinhal;SP
3448302;Santo Expedito;SP
3448401;Santópolis do Aguapeí;SP
3448500;Santos;SP
3448609;São Bento do Sapucaí;SP
3448708;São Bernardo do Campo;SP
3448807;São Caetano do Sul;SP
3448906;São Carlos;SP
3449003;São Francisco;SP
3449102;São João da Boa Vista;SP
3449201;São João das Duas Pontes;SP
3449250;São João de Iracema;SP
3449300;São João do Pau d'Alho;SP
3437404;Pereira Barreto;SP
3437503;Pereiras;SP
3437602;Peruíbe;SP
3437701;Piacatu;SP
3437800;Piedade;SP
3437909;Pilar do Sul;SP
3438006;Pindamonhangaba;SP
3438105;Pindorama;SP
3438204;Pinhalzinho;SP
3438303;Piquerobi;SP
3438501;Piquete;SP
3438600;Piracaia;SP
3438709;Piracicaba;SP
3438808;Piraju;SP
3438907;Pirajuí;SP
3439004;Pirangi;SP
3439103;Pirapora do Bom Jesus;SP
3439202;Pirapozinho;SP
3439301;Pirassununga;SP
3439400;Piratininga;SP
3439509;Pitangueiras;SP
3439608;Planalto;SP
3439707;Platina;SP
3439806;Poá;SP
3439905;Poloni;SP
3440002;Pompéia;SP
3440101;Pongaí;SP
3440200;Pontal;SP
3440259;Pontalinda;SP
3440309;Pontes Gestal;SP
3440408;Populina;SP
3440507;Porangaba;SP
3440606;Porto Feliz;SP
3440705;Porto Ferreira;SP
3440754;Potim;SP
3440804;Potirendaba;SP
3440853;Pracinha;SP
3440903;Pradópolis;SP
3441000;Praia Grande;SP
3441059;Pratânia;SP
3441109;Presidente Alves;SP
3441208;Presidente Bernardes;SP
3441307;Presidente Epitácio;SP
3441406;Presidente Prudente;SP
3441505;Presidente Venceslau;SP
3441604;Promissão;SP
3441653;Quadra;SP
3441703;Quatá;SP
3441802;Queiroz;SP
3441901;Queluz;SP
3442008;Quintana;SP
3442107;Rafard;SP
3442206;Rancharia;SP
3442305;Redenção da Serra;SP
3442404;Regente Feijó;SP
3442503;Reginópolis;SP
3442602;Registro;SP
3442701;Restinga;SP
3442800;Ribeira;SP
3442909;Ribeirão Bonito;SP
3443006;Ribeirão Branco;SP
3443105;Ribeirão Corrente;SP
3443204;Ribeirão do Sul;SP
3443238;Ribeirão dos Índios;SP
3443253;Ribeirão Grande;SP
3443303;Ribeirão Pires;SP
3443402;Ribeirão Preto;SP
3443501;Riversul;SP
3443600;Rifaina;SP
3443709;Rincão;SP
3443808;Rinópolis;SP
3443907;Rio Claro;SP
3444004;Rio das Pedras;SP
3444103;Rio Grande da Serra;SP
3444202;Riolândia;SP
3444251;Rosana;SP
3444301;Roseira;SP
3444400;Rubiácea;SP
3444509;Rubinéia;SP
3444608;Sabino;SP
3444707;Sagres;SP
3444806;Sales;SP
3444905;Sales Oliveira;SP
3445001;Salesópolis;SP
3445100;Salmourão;SP
3445159;Saltinho;SP
3445209;Salto;SP
3445308;Salto de Pirapora;SP
3445407;Salto Grande;SP
3445506;Sandovalina;SP
3445605;Santa Adélia;SP
3445704;Santa Albertina;SP
3445803;Santa Bárbara d'Oeste;SP
3446009;Santa Branca;SP
3446108;Santa Clara d'Oeste;SP
3446207;Santa Cruz da Conceição;SP
3446256;Santa Cruz da Esperança;SP
3446306;Santa Cruz das Palmeiras;SP
3446405;Santa Cruz do Rio Pardo;SP
3446504;Santa Ernestina;SP
3446603;Santa Fé do Sul;SP
3446702;Santa Gertrudes;SP
3446801;Santa Isabel;SP
3403356;Arco-Íris;SP
3403406;Arealva;SP
3403505;Areias;SP
3403604;Areiópolis;SP
3403703;Ariranha;SP
3403802;Artur Nogueira;SP
3403901;Arujá;SP
3403950;Aspásia;SP
3404008;Assis;SP
3404107;Atibaia;SP
3404206;Auriflama;SP
3404305;Avaí;SP
3404404;Avanhandava;SP
3404503;Avaré;SP
3404602;Bady Bassitt;SP
3404701;Balbinos;SP
3404800;Bálsamo;SP
3404909;Bananal;SP
3405005;Barão de Antonina;SP
3405104;Barbosa;SP
3405203;Bariri;SP
3405302;Barra Bonita;SP
3405351;Barra do Chapéu;SP
3405401;Barra do Turvo;SP
3405500;Barretos;SP
3405609;Barrinha;SP
3405708;Barueri;SP
3405807;Bastos;SP
3405906;Batatais;SP
3406003;Bauru;SP
3406102;Bebedouro;SP
3406201;Bento de Abreu;SP
3406300;Bernardino de Campos;SP
3406359;Bertioga;SP
3406409;Bilac;SP
3406508;Birigui;SP
3406607;Biritiba-Mirim;SP
